id,exp_comment,emotion_raw,emotion
185,I don't use Instagram and wouldn't reply to this kind of post,5,calm
186,Determination of costs of living,5,calm
187,Idc,99,NA
188,it has views of most citizens,5,calm
191,A task force to track retailers and wholesaler sales and suppress inflation,3,hopeful
192,"Inflation coming down is a step closer to things getting better, am highly optimistic",3,hopeful
194,"I would say that even though the statistics show the optimism to be a low rate , I believe that it cold increase leading to many issues",2,anxious
195,It’s good inflation has come down this time. It’s really difficult for the ordinary person.,3,hopeful
196,Nothing,99,NA
201,"Despite the challenges we face,l believe there is a reason for hope that things will get better.",3,hopeful
206,"It's just bad, as usual.",1,angry
208,The rising cost of living is alarming. I hope the government does something about it.,2,anxious
212,It is a disgrace,1,angry
214,Oh no,2,anxious
220,I’m not sure,2,anxious
221,I wouldn’t comment,99,NA
222,Interesting and cool,4,happy
223,This is worrying,2,anxious
224,"I think theres still a very strong chance to turn things around for us young people, im hopeful it will get better",3,hopeful
226,The are nice,4,happy
227,"With the way inflation went down, I see a change in the cost of living.",3,hopeful
228,I think the government can do better,3,hopeful
229,purrr,99,NA
230,Cost of living is terrible,1,angry
232,THE UK ECONOMY IS GOING DOWN,1,angry
234,Nice to know about what's going on,5,calm
235,I wouldn’t,99,NA
236,Finally some positive news. Let's hope this trend continues and wages start to catch up,3,hopeful
238,Hoping for the best,3,hopeful
240,Finally the government are getting wise enough to see that people are going through a lot and decided to reduce the cost of things and I pray the cost of things do not go high again,3,hopeful
245,Not sure,2,anxious
246,Things are bad but we believe it will get better in future,3,hopeful
247,What is your source,99,NA
249,"The way things are going is only getting worse, optimism or ignorance",2,anxious
253,I'm impressed,4,happy
257,I would not,99,NA
259,None,99,NA
260,Things will always get better,3,hopeful
261,hell those in need,1,angry
263,"Uk as being being facing different kind of challenges for past three year, but the fact the the inflation reduce for the first time in three months shows the the government are working and they will put everything in places soon",3,hopeful
265,Let is keep being optimistic,3,hopeful
266,That the changes are now becoming to much to the citizens,1,angry
267,"That is a nice shift to the cost of living, maybe the government is finally adjusting",3,hopeful
269,I don't see any end to the cost of living crisis.,2,anxious
277,I am so worried about the future of the country if inflation persists.,2,anxious
281,Yes things are actually going down but I try to believe the government and technology would fix this,3,hopeful
282,Sorry state of affairs,1,angry
283,I think the government of UK should look into this and make things better for the people and residents of UK.,3,hopeful
284,Let's be hopeful,3,hopeful
285,Is good to stay optimistic,3,hopeful
286,There a great need for drastic changes.,2,anxious
287,If the government stop sending money to isnotreal we have more money,1,angry
288,The cost of living is ruining lives honestly and it’s only getting worse,1,angry
289,"If nothing is done to keep going on the right direction, it may well collapse altogether",2,anxious
293,Nothing is,99,NA
296,"Things will get better, i am optimistic.",3,hopeful
300,the government is responsible in part for the current cost of living crisis and needs to do more to help young people,1,angry
303,nothing,99,NA
304,"Cost of living concerns, young people cry out about the concerns of their future",2,anxious
307,The government intervention is required in the situation,5,calm
310,I wouldn’t leave a comment,99,NA
313,I am worried about what is next,2,anxious
314,i agree,5,calm
315,It won’t get better,2,anxious
321,"That youthful optimism is powerful; it's a great sign that despite real challenges, young people see potential in the future, especially with inflation finally cooling. Hope can fuel the resilience and innovation needed for long-term recovery.",3,hopeful
323,I wouldn’t comment,99,NA
324,The UK isn't acting as a good country,1,angry
325,"I can just get pregnant, have a child, and then the council will legally have to provide accommodation for me and my partner. Raise the cost all you want, my ovaries work fine.",1,angry
326,The economy is falling,2,anxious
327,Oligarchs and rentals need to change,1,angry
330,Intense,2,anxious
333,i wouldn’t,99,NA
335,"This is information i didn’t know, and I feel better for knowing it. I think cost of living reports should be posted regularly",4,happy
336,tax the rich x,1,angry
337,I'm not sure,2,anxious
340,Idk,99,NA
342,Interesting,5,calm
343,i have nothing to comment,99,NA
345,I would not leave  comment,99,NA
349,Always keep hope,3,hopeful
351,As a young person neither I nor anyone I know feels optimostic about their own future or that or the country.,2,anxious
352,i wouldn’t,99,NA
353,we need more help,2,anxious
357,I actually believe prices will be back after the feast period.,3,hopeful
361,Things are just getting worse and worse.,2,anxious
362,n/a,99,NA
363,I wouldn't.,99,NA
364,It’s so important that politics is made accessible to people of all ages,3,hopeful
365,I’m surprised the Uk hasn’t bothered to make improvements instead of building new buildings.,1,angry
368,Its getting too much,2,anxious
370,They need to tax the rich.,1,angry
371,Great ?,4,happy
374,Not  bad,5,calm
375,The uk needs to improve,3,hopeful
376,"How accurate would this be? Changes are obviously a good thing, but i find it unrealistic.",2,anxious
378,Nothing,99,NA
380,To reduce costs of living. Because increase of thifes to be able to reduce Because of lack of job.,2,anxious
382,Deport,1,angry
383,This is exactly what we need for change,3,hopeful
385,Yippee,4,happy
386,Good update,4,happy
387,As a young person growing up in this climate and looking to potentially find employment after university this is worrying,2,anxious
389,Oh no,2,anxious
390,FACTS,99,NA
393,how bad the pricings actually going up,2,anxious
394,Nice view,4,happy
401,"Even if inflation came down a bit, people would start seeing the effects financially in other ways. At some point, it will increase but with higher effects.",2,anxious
403,Nothing relevant,99,NA
404,How much of an issue cost of living is for the uk as its making people not have much money spare,2,anxious
406,this is a large concern within the UK,2,anxious
416,Interesting,5,calm
417,It's interesting to see how the trends would shift going forward. Itd also be a good idea to keep an eye out on this,3,hopeful
421,it doesn’t feel like it’s gone down.,2,anxious
422,Just Lowe it,99,NA
424,“As a young person myself I agree I am scared for my future and what the country is going to turn out like”,2,anxious
425,I wouldn’t leave one,99,NA
428,its bad,1,angry
430,nothing,99,NA
432,Things keep getting worse,2,anxious
433,N/A,99,NA
440,N/A,99,NA
441,None at the moment,99,NA
443,This news is shocking,2,anxious
446,"It it the first time in years, its not really a good thing It should be reduced",2,anxious
447,hopefully inflation pauses now,3,hopeful
449,Not fair,1,angry
450,Prices are getting quite high and uncontrollable,2,anxious
451,The government could do better,2,anxious
452,It’s a real concern,2,anxious
453,things will get better over time,3,hopeful
464,Wagwan,99,NA
469,Nothing,99,NA
471,agreed,5,calm
472,Nice,4,happy
474,Everything is so expensive and the size is shrinking,1,angry
477,Not good enough,1,angry
478,Not comment,99,NA
479,The world is not improving,2,anxious
480,Continuation of the trauma,2,anxious
485,Looks like my savings won't get devoured lol,4,happy
489,With the way cost of living is continuously rising it leaves you feeling uncertain of your own future,2,anxious
490,That's great news,4,happy
496,Congratulations. Keep up the good work,4,happy
498,I wouldn’t comment,99,NA
500,We need to take care of the economy and put effort into our economy,3,hopeful
502,Skibidi,99,NA
504,I dont write comments,99,NA
505,Dont know.,99,NA
508,It’s awful right now.,2,anxious
511,The futures unsure,2,anxious
513,The cost of living needs to be lowered,1,angry
521,N/A,99,NA
522,It's really surprising how inflation came down this is really amazing,4,happy
525,This seems interesting,3,hopeful
526,NA,99,NA
529,"This post does not show how much inflation came down, which could be misleading",2,anxious
530,unsure,2,anxious
531,shlawg i aint harldy care bout none of ts,5,calm
536,We have to see,2,anxious
543,It’s trud,99,NA
547,This is wrong Information inflation has increased even more,1,angry
549,I agree on the reports,5,calm
551,I wouldn’t leave a comment,99,NA
552,We really need a breakthrough and soon,2,anxious
554,I feel it’s a very significant change,3,hopeful
555,the report is useful,5,calm
556,This news shocked me,2,anxious
563,Overpopulation,2,anxious
567,amazing,4,happy
571,"Money is important, but more important is educating ourselves on what to do with it",3,hopeful
572,ok,99,NA
573,"I think the increase in cost of living is just for a short period of time. With time, I'm optimistic  things will get better.",3,hopeful
574,true,99,NA
576,No,99,NA
578,i believe everything will turn out better,3,hopeful
580,Wow,4,happy
591,"I'm worried about my future but hopefully with better communication and hard working with all the available resources, people can live off well.",3,hopeful
594,The uk stop inflating prices,1,angry
596,There must be changes made,2,anxious
597,It’ll only go up again,3,hopeful
603,that is good,4,happy
604,Why is there inflation? And what would the government do about it?,2,anxious
609,To everyone to be kind,3,hopeful
610,To be honest its been heting worse with no way to stop it.,2,anxious
611,The government don’t care about young people and just want to get richer and divide.,1,angry
612,This is shocking,2,anxious
614,Not surprised,5,calm
615,There are bigger problems,5,calm
616,Families will have to start house sharing in the future nobody will be able to live soon prices are just too high,2,anxious
618,Let’s see what happens and hope for the best.,3,hopeful
619,Yep we're cooked chat,2,anxious
623,Things are looking up,3,hopeful
625,Thank God,4,happy
626,"I don’t believe anything I see till I really see change, with the minimal decrease, it doesn’t make a huge difference. Things are still expensive and will be for months on so I’m not moved or even happy with this.",1,angry
627,I would not comment,99,NA
631,"its good that these results are being shared with the public, gives a good changing presence into society",3,hopeful
635,This information is helpful,4,happy
640,No one is optimistic about this,2,anxious
643,"Praying for the younger generations, I hope theyre recognised and regarded",3,hopeful
647,cost of living is ridiculous as everyone in low income houses are struggling,1,angry
649,Interesting ?,5,calm
650,Housing prices increased immensely won’t ever afford it,2,anxious
651,Glad to see there is some change in our country,4,happy
653,Ofc they did it again,1,angry
654,hoping that inflation goes down even more soon,3,hopeful
657,Yeah true,5,calm
659,The rises in inflation lately are ridiculous! How are normal people like me meant to ever afford things in the real world?,1,angry
660,Inflation will increase again giving younger generations false hope,1,angry
663,The decrease isn’t enough!,1,angry
665,Cost of living it a joke,1,angry
666,"it is crazy how much the cost of living has gone up, and the lack of support for the next generation coming through has drastically decreased.",1,angry
670,Not suprising,5,calm
671,A great idea,4,happy
673,It shouldn’t be right to be costing family’s loads to live. And only to live. Time to change it. I can’t wait to see the change Happening,3,hopeful
675,I wouldn't write anything as political topics dont intrest me and are very boring the only thing i care abt in politics is that the lgbtq should be free to live,5,calm
676,I sometime feel like I'm working my head off just to cover the basics. Something's got to give,2,anxious
677,Things will get better we can do this,3,hopeful
679,Thanks for updating us.,5,calm
680,Action now before it gets worser,2,anxious
681,feeling it bad,2,anxious
682,I think the cost of living decreasing is good for the community as many people suffer from it,3,hopeful
683,Its the government's fault,1,angry
685,No comment,99,NA
686,the price inflation needs to stop,1,angry
690,Yes very worried,2,anxious
692,It'd nice,4,happy
695,"Young people have it very difficult, it was a lot easier for the older generations at least they could afford a home",2,anxious
696,unsure,2,anxious
697,I would have to disagree somewhat. I think young people are becoming more hopeful because we have social media platforms to hear each others voices.young people are giving hope to other young people. The hope derives from the idea that the government could consist of our generation very soon,3,hopeful
698,what is the reason for the deflation,2,anxious
699,Young people with big ideas can achieve big things,3,hopeful
702,It’s heartbreaking,2,anxious
703,Let's be hopeful that things improve,3,hopeful
705,I really wish the government can take note of critical sectors influencing the live of citizens. Lively hood shouldn’t worry people in the UK.,3,hopeful
706,Its sooo bad that the price gaps from 2 years ago and now for simple things are vastly different,1,angry
710,Cool,5,calm
711,terrible crisis,2,anxious
712,That's a relief. Cuz I hate higher prices.,4,happy
713,Not a trusted source could be misleading data,2,anxious
714,That's nice.,5,calm
715,Lies,1,angry
716,Don't know,99,NA
718,future looking dark,2,anxious
720,I wouldnt,99,NA
724,"after going up by more than 20%, a recent small decline does not help the people.",1,angry
725,Cool,5,calm
727,Let’s see how this goes,2,anxious
729,This is great news for the uk,4,happy
730,this is so useful and also so true!,4,happy
731,I agree,5,calm
732,Too bad,1,angry
737,Change asap,1,angry
739,I wouldnt leave a comment but id be a bit hopeful,3,hopeful
740,Wow,4,happy
741,It’s intriguing to see how the different trends are developing over time,5,calm
742,Things are not looking good,2,anxious
748,I’m hopeful this is true but our government will snatc the good Opportunities from young people to Come by taxing them so High t,3,hopeful
749,the only way i would get the chance of,99,NA
751,Mad,1,angry
754,Not much as I don’t like putting my opinions across,5,calm
755,Good,4,happy
756,It feels good to see follow up updates about the issue pn our minds,4,happy
757,Same as the chloebaxterx response,99,NA
758,let the government do something,2,anxious
760,I do not leave comments,99,NA
764,Not good,1,angry
769,Not fair enough,1,angry
770,People are no longer able to afford the most basic necessities,1,angry
771,I dont understand the post,2,anxious
772,I don't comment on social media. I don't think it makes a difference. It is a waste of my time.,5,calm
774,Not too sure right now just some colours,99,NA
778,the world is a tough place,2,anxious
780,Don’t care bout it,5,calm
781,"It's very important that the government should create and implement policies that would fix the economy, because the high rate amnesia is disturbing amongst young people.",2,anxious
782,The UK is in need of Support,2,anxious
783,I’d point out how the government is explicitly ignoring contributing reasons for this,1,angry
785,nice,4,happy
786,The uk is ridiculous,1,angry
787,Dont know,99,NA
790,It right,99,NA
792,No comment,99,NA
793,This could be the beginning of the new trend after 3 years hope it trends well to our favor,3,hopeful
796,I am very worried about this. Hope goverment actially does something to fix this,2,anxious
805,Bad,1,angry
806,Looks good,4,happy
813,I also feel optimistic,3,hopeful
814,It's honestly getting harder to cope. Young people are really struggling.,2,anxious
815,Here’s hoping it keeps coming down,3,hopeful
817,We keep believing,3,hopeful
818,God help UK,2,anxious
822,"The UK is really facing many challenges, the cost of living is really high and it's not coming down",2,anxious
823,I am worried too.. but I believe things change positively,3,hopeful
824,Interesting,5,calm
826,The government should look into it and find out what to do about it,5,calm
827,just keep pushing through!,3,hopeful
828,This sounds too good to be true,2,anxious
832,The government need to look into this situation before it gets out of hand,2,anxious
836,Trends like this helps at tracking how situations in the UK and improving over time.,3,hopeful
837,That they could be a slight change actually means something good is coming so I'm very hopeful,3,hopeful
838,I think that’s nonsense. Everyone is continually going up,1,angry
839,Very important to solve this issues,3,hopeful
840,"This cost of living area needs to be work on seriously to avoid worrying about the future of the young ones, and the prices need to go down to ensure Good and adequate living for the young.",2,anxious
844,Not sure,2,anxious
845,"Encouraging to see inflation finally easing , but the reality is that many households are still feeling the impacts of years of rising prices. It will take time for the pressure to lift, and long-term solutions are still neeeded",3,hopeful
846,nothing,99,NA
851,"Interesting, doesn’t feel like it",5,calm
852,"Encouring to see that even with rising cost, people are staying optimistic, hope and. Innovation can drive real change if we keep pushing forward",3,hopeful
854,kinda true,5,calm
859,We have hope,3,hopeful
860,"With the right investment in tech and other opprotunities, the future looks brigth",3,hopeful
864,Things are really getting out of hand,2,anxious
865,The government should be given time to sort this out and they'd definitely come through,3,hopeful
866,unbelievable,1,angry
867,"This is interesting, hopefully everything starts to balance out",3,hopeful
872,Its encouraging to see trends moving in the right direction. Let's keep hoping for the better.,3,hopeful
874,Great update,4,happy
875,It can always get better,3,hopeful
880,I believe there is hope for inflation to come down which this information,3,hopeful
882,I hope the government finds a solution soon,3,hopeful
884,The cost of living should be looked into by the government,2,anxious
885,"Even with challenges, it is encouraging to see young people staying hopeful about the future. Optimism can really make a difference.",3,hopeful
886,This is very interesting for the first time in months we are seeing different trends developing,3,hopeful
887,It’s such a great news to hear that inflation has come down after years pf battling with cost of things,4,happy
888,The government should do something,2,anxious
890,i would never comment on a post,99,NA
892,I would not comment.,99,NA
895,The UK can only get better soon,3,hopeful
898,"it has to get worse before it gets better, and i believe we are getting past the worse stage.",3,hopeful
900,bitter truth,1,angry
909,Good,4,happy
910,I love it,4,happy
914,It's worrisome to see the rise of things in the economy..,2,anxious
917,Government should look for a way the high cost of things will be reduced,2,anxious
918,"Though the economy may seem to be going downhill, but new measures are up coming to ensure renewed stability",3,hopeful
923,Though we all feel it but what is for sure is better future,3,hopeful
925,We will beat the inflation as time goes on with this optimism.,3,hopeful
926,"The same old, no changing at all.",1,angry
932,It would be good to see more reports like this instead of fake news,3,hopeful
934,"I feel i can relate to that but not completely as my family have good assets therefore, i guess my future is secure financially.",5,calm
935,Nothing,99,NA
937,Prices of things are really going to high something needs to be done.,1,angry
939,helpful to see data like this,5,calm
941,none,99,NA
943,Inflation rate,99,NA
944,The drop in inflation should continue until it get to a more neutral and cope able level,3,hopeful
945,I can absolutely relate to the economic situation. It hits us all,2,anxious
946,The cost of living were good,4,happy
947,We are definitely not making it to 2035,2,anxious
949,I wouldn’t,99,NA
954,I'm excited about inflation dropping down I hope the government do more to tackle cost of living,3,hopeful
955,That we need more help.,2,anxious
956,I will like if Government can encourage more investors in,3,hopeful
959,It is a trying time for most youths in this country. Inflation has really reduced the purchasing power of most of us. I fear for the future as we cant continue like this.,2,anxious
961,I don't know,99,NA
963,Intriguing,5,calm
965,its going in a bad decision and we need to step our gain and work harder not smarter and do the right things and be strong an save our world and country,2,anxious
966,"This is absolutely true. It is so hard to afford things I want, only needs are attended to.",2,anxious
973,if it continues people have a reason for hope,3,hopeful
975,I wouldnt,99,NA
977,We all are worried.,2,anxious
978,This level of economic adversity makes me so pessimistic about the future,2,anxious
982,All fake,1,angry
984,I wouldnt comment,99,NA
986,I don’t comment,99,NA
987,Good news,4,happy
988,Yhh seems the future is being doubtful now buh tech is  a high probability to regain the balance,3,hopeful
993,i can’t even afford to eat of course it’s a problem,1,angry
994,I see new opportunities and possibilities in the future,3,hopeful
995,"As a young man in my 20s, I agree that it is important to remain optimistic, despite the overwhelming evidence that life could get much harder for us in the coming decades; we have to stay positive to keep moving and trust that better things are coming!",3,hopeful
996,"While the rising cost of living is tough, it’s encouraging to see efforts to support households and businesses. Small positive changes can make a real difference over time.",3,hopeful
997,"Although it came down, doesn’t fully help those who still struggle under living conditions and wage.",2,anxious
998,I believe things would change for the better with time,3,hopeful
999,This is clearly propaganda that is not based on any actual evidence.  Are the comments from real people or just made up to support this propaganda and attempt to influence those who do not scrutinise evidence for themselves.,1,angry
1003,I’m hopeful that our economy will get better,3,hopeful
1007,I hope so as the cost of living crisis has demolished my savings. There seems to be no end in sight.,2,anxious
1008,Rising Cost of living in the UK,2,anxious
1009,lets hope something changes,3,hopeful
1011,Agree,5,calm
1012,Its how things should be,5,calm
1015,Things are really bad and its is anooying that most youths cant get what they want because they cant afford it,1,angry
1018,Interesting and scary,2,anxious
1023,"The cost of living is getting too high by the day, everyone is  feeling like they're just barely keeping their head above water? #cost_of_living #struggle_is_real""",2,anxious
1026,I know things will get better soon,3,hopeful
1027,All the youth and teenager worried and anxious with the issue in uk things is getting worse,2,anxious
1033,May we succeed during these hard times,3,hopeful
1037,Things arent great atm financially,2,anxious
1038,It is a scary time.,2,anxious
1040,I wouldn’t,99,NA
1041,it is bad for growth,2,anxious
1044,It's not going to be easy for the masses,2,anxious
1046,This is wonderful to know,4,happy
1048,Not sure,2,anxious
1050,Don’t know,99,NA
1051,"Throughout history, people have always gotten richer over time, I'm sure this will be fixed",3,hopeful
1055,Very good chart tesm,4,happy
1057,I'm certain in the future it would be much better for the youths with the decrease in inflation,3,hopeful
1058,Very interesting and amazing,4,happy
1064,It's a good thing that inflation is coming down,3,hopeful
1065,Why is cost of crisis increasing on daily basis,2,anxious
1070,I’ll believe that when i see it take effect,2,anxious
1071,i hope that inflation will continue to decrease to give young people like myself a better future,3,hopeful
1073,I think we government should reduce the cost of food,3,hopeful
1077,What a great way to keep young people in the country by making it harder for us to survive.,1,angry
1079,Is this backed with evidence,2,anxious
1080,Wow,4,happy
1083,"I feel the same way, something needs to be done",2,anxious
1084,Developing,3,hopeful
1085,"It can be useful to see reports like this, helps me understand the overall situation.",5,calm
1087,relived tht inflation has reduced slightly,4,happy
1088,this gives me some useful infprmation,4,happy
1090,Wow,4,happy
1092,To afford want i want is a problem with increase in price of things,2,anxious
1095,Cost of living is skyrocketing in the uk,2,anxious
1097,We need more jobs,2,anxious
1098,Not sure,2,anxious
1099,I WOULDNT BELEIVE EVERYTHING I READ,1,angry
1100,Nothing,99,NA
1101,Positive news but we should still be critical and push for more action so that living situations for brits reflects that better,3,hopeful
1103,That things seem to be stabilising for me personally,5,calm
1106,There is always good for bad times,3,hopeful
1108,Things will only get better if the costs go down,3,hopeful
1109,They should not agree it will be a bad decision on the country,1,angry
1112,Oh wow,4,happy
1114,I am hopeful,3,hopeful
1118,send them back,1,angry
1119,that i relate as a young person,5,calm
1121,GOOD TO SEE INFLATION EASING BUT MANY PEOPLE ARE STILL STRUGGLING WITH THE HIGH COST OF ESSENTIALS.,3,hopeful
1122,"I totaly agree with the post, many people in the UK are struggling with rising cost of living",2,anxious
1123,Yes young people are worried about the state of their country,2,anxious
1124,Prices have increased for everyone but they have stopped the cost of living payments for the people who are genuinely struggling to live,1,angry
1125,Well the post is right in some way but not everything cause they are still some advantage about it,5,calm
1126,Nothing,99,NA
1127,Government should look into it,5,calm
1130,Government is doing a poor job.,1,angry
1133,There is hope for the future,3,hopeful
1136,It’s not good,1,angry
1138,Poverty is not ok.,1,angry
1142,Great information,4,happy
1152,us young people have good reason for concern - writing it off as simply anxiety is dissmisive and unecessary. people cant afford to live.,1,angry
1156,Is there any way the trends could predict a decrease in the cost of living crisis which will hopefully stay instead of increasing again ?,3,hopeful
1158,"It's really though seeing proves go up everywhere, everything from groceries to bills seems more expensive. Hopefully things improve soon so families can manage without constant stress",2,anxious
1161,"I feel so scared and uncertain on what the future holds, to be honest. The cost of living is absolutely terrifying ?",2,anxious
1162,I’d say that upon the increasing cost of living we still have to be thankful that inflation went down even if it was just a bit.,3,hopeful
1163,where is this evidence sourced from? is it just clickbait,2,anxious
1164,Humanitarian aid is useful,5,calm
1165,It's upsetting you know,1,angry
1168,It's a good development to reduce housing problems,3,hopeful
1170,Things looks bad in the uk right now and actions need to be taken immediately,2,anxious
1172,Thus is horrible,1,angry
1174,I’m sure things would get better overtime  The Uk government is working,3,hopeful
1175,"It's somehow sad the economy of this country right now, I hope it gets better for the sake of us and the younger ones",3,hopeful
1176,I don't have any comments to make,99,NA
1177,Nothing really,99,NA
1178,Just something about how prices keep increasing,2,anxious
1181,"Its such a sad situation, I wish the government would do something about it",2,anxious
1185,I wouldn’t,99,NA
1187,The post should have valid credentials,5,calm
1188,At least something good is happening,3,hopeful
1190,I wouldn’t leave a comment,99,NA
1191,This country is finished,1,angry
1196,I honestly wish that things will get better because some people can't even afford the essentials of life.,3,hopeful
1197,"Really helpful breakdown, makes it easier to understand what’s actually going on with prices lately",5,calm
1198,I believe it's too soon to say . But things are looking positive,3,hopeful
1200,I'm not sure,2,anxious
1202,Ok,99,NA
1203,"If prices could come down now, that means sooner or later, the economy could recover",3,hopeful
1204,W Uk,99,NA
1208,Things are really bad that it's really affecting the way we live,2,anxious
1212,it’s nice to know that we aren’t completely doomed,3,hopeful
1217,Things may change for the better but we’re still struggling now if we don’t keep fighting and we just settle it will just go back to how it was before!,3,hopeful
1222,ohh nice to know.,5,calm
1223,hopefully cost of living can follow suit and decrease,3,hopeful
1224,"This statistics are accurate, there's being a rising rate of cost of living over the past 3 years",5,calm
1225,"Hopefully, inflation continues to decrease",3,hopeful
1226,It's good to see inflation trending down but there is still a lot to do to make living cost manageable for everyone,3,hopeful
1228,interesting,5,calm
1232,Its all lies,1,angry
1236,Uh oh,2,anxious
1237,It's such a relief,5,calm
1241,Feeling optimistic is one thing but if the actual economy doesn't reflect that then it doesn't matter,2,anxious
1243,the country is going down,2,anxious
1244,Things need to change,3,hopeful
1245,The government should look into this,5,calm
1246,Honestly i qm not worried about anything right now i just want to herald christ,5,calm
1247,It's is getting better soon,3,hopeful
1248,Lower taxation,3,hopeful
1250,Good and professional,4,happy
1261,It's really affecting,2,anxious
1267,"With the way things have gone in the past decade, I wouldn’t be surprised to still be living with my parents when I’m 35, if Earth hasn’t become by then",2,anxious
1269,Ok,99,NA
1271,Its good to be aware of this information in order to find ways to sort it out,3,hopeful
1272,The government should come and help his citizens,3,hopeful
1273,disgusting,1,angry
1275,Very good,4,happy
1276,The inflation is rising government should look into to this,2,anxious
1277,Great post,4,happy
1278,Good,4,happy
1282,I am optimistic of the future,3,hopeful
1288,Young people don’t feel hopeful. We want to leave but can not because we can’t afford to.,2,anxious
1289,nothing really,99,NA
1299,I think it's one of the major reasons for depression in teenagers and young people as well,2,anxious
1304,I don't really agree with that statement tbh,5,calm
1305,We need more to be done for cost of living,2,anxious
1306,I would write that young people are struggling.,2,anxious
1308,Na,99,NA
1309,Lies,1,angry
1311,I hope inflation doesn’t keep going up,2,anxious
1312,everyday needs have become difficult to meet,2,anxious
1314,Thats very nervious and its a high time that we should do something about inflation,2,anxious
1315,sighhh its never getting fixed,2,anxious
1321,Inflation is affecting the uk,5,calm
1322,It is good to see figure like this shown,4,happy
1323,Damn we fucked,1,angry
1324,it is interesting to see how the economy is changing,5,calm
1325,Blame it on kier,1,angry
