id,exp_comment,sentiment_score
705,I really wish the government can take note of critical sectors influencing the live of citizens. Lively hood shouldn’t worry people in the UK.,3
706,Its sooo bad that the price gaps from 2 years ago and now for simple things are vastly different,2
710,Cool,6
711,terrible crisis,1
712,That's a relief. Cuz I hate higher prices.,6
713,Not a trusted source could be misleading data,2
714,That's nice.,5
715,Lies,1
716,Don't know,99
718,future looking dark,2
720,I wouldnt,99
724,"after going up by more than 20%, a recent small decline does not help the people.",2
725,Cool,6
727,Let’s see how this goes,4
729,This is great news for the uk,7
730,this is so useful and also so true!,7
731,I agree,99
732,Too bad,2
737,Change asap,2
739,I wouldnt leave a comment but id be a bit hopeful,5
740,Wow,4
741,It’s intriguing to see how the different trends are developing over time,6
742,Things are not looking good,2
748,I’m hopeful this is true but our government will snatc the good Opportunities from young people to Come by taxing them so High t,3
749,the only way i would get the chance of,99
751,Mad,1
754,Not much as I don’t like putting my opinions across,99
755,Good,7
756,It feels good to see follow up updates about the issue pn our minds,6
757,Same as the chloebaxterx response,99
758,let the government do something,4
760,I do not leave comments,99
764,Not good,2
769,Not fair enough,2
770,People are no longer able to afford the most basic necessities,2
771,I dont understand the post,99
772,I don't comment on social media. I don't think it makes a difference. It is a waste of my time.,2
774,Not too sure right now just some colours,4
778,the world is a tough place,3
780,Don’t care bout it,3
781,"It's very important that the government should create and implement policies that would fix the economy, because the high rate amnesia is disturbing amongst young people.",3
782,The UK is in need of Support,4
783,I’d point out how the government is explicitly ignoring contributing reasons for this,2
785,nice,6
786,The uk is ridiculous,2
787,Dont know,99
790,It right,99
792,No comment,99
793,This could be the beginning of the new trend after 3 years hope it trends well to our favor,6
796,I am very worried about this. Hope goverment actially does something to fix this,2
805,Bad,1
806,Looks good,6
813,I also feel optimistic,6
814,It's honestly getting harder to cope. Young people are really struggling.,2
815,Here’s hoping it keeps coming down,5
817,We keep believing,6
818,God help UK,2
822,"The UK is really facing many challenges, the cost of living is really high and it's not coming down",2
823,I am worried too.. but I believe things change positively,5
824,Interesting,5
826,The government should look into it and find out what to do about it,4
827,just keep pushing through!,6
828,This sounds too good to be true,3
832,The government need to look into this situation before it gets out of hand,3
836,Trends like this helps at tracking how situations in the UK and improving over time.,6
837,That they could be a slight change actually means something good is coming so I'm very hopeful,6
838,I think that’s nonsense. Everyone is continually going up,2
839,Very important to solve this issues,6
840,"This cost of living area needs to be work on seriously to avoid worrying about the future of the young ones, and the prices need to go down to ensure Good and adequate living for the young.",3
844,Not sure,99
845,"Encouraging to see inflation finally easing , but the reality is that many households are still feeling the impacts of years of rising prices. It will take time for the pressure to lift, and long-term solutions are still neeeded",5
846,nothing,99
851,"Interesting, doesn’t feel like it",3
852,"Encouring to see that even with rising cost, people are staying optimistic, hope and. Innovation can drive real change if we keep pushing forward",6
854,kinda true,5
859,We have hope,6
860,"With the right investment in tech and other opprotunities, the future looks brigth",6
864,Things are really getting out of hand,2
865,The government should be given time to sort this out and they'd definitely come through,6
866,unbelievable,7
867,"This is interesting, hopefully everything starts to balance out",5
872,Its encouraging to see trends moving in the right direction. Let's keep hoping for the better.,6
874,Great update,7
875,It can always get better,5
880,I believe there is hope for inflation to come down which this information,5
882,I hope the government finds a solution soon,5
884,The cost of living should be looked into by the government,4
885,"Even with challenges, it is encouraging to see young people staying hopeful about the future. Optimism can really make a difference.",6
886,This is very interesting for the first time in months we are seeing different trends developing,6
887,It’s such a great news to hear that inflation has come down after years pf battling with cost of things,7
888,The government should do something,4
890,i would never comment on a post,99
892,I would not comment.,99
895,The UK can only get better soon,6
898,"it has to get worse before it gets better, and i believe we are getting past the worse stage.",5
900,bitter truth,3
909,Good,7
910,I love it,7
914,It's worrisome to see the rise of things in the economy..,2
917,Government should look for a way the high cost of things will be reduced,4
918,"Though the economy may seem to be going downhill, but new measures are up coming to ensure renewed stability",5
923,Though we all feel it but what is for sure is better future,6
925,We will beat the inflation as time goes on with this optimism.,6
926,"The same old, no changing at all.",2
932,It would be good to see more reports like this instead of fake news,6
934,"I feel i can relate to that but not completely as my family have good assets therefore, i guess my future is secure financially.",5
935,Nothing,99
937,Prices of things are really going to high something needs to be done.,2
939,helpful to see data like this,6
941,none,99
943,Inflation rate,99
944,The drop in inflation should continue until it get to a more neutral and cope able level,5
945,I can absolutely relate to the economic situation. It hits us all,4
946,The cost of living were good,6
947,We are definitely not making it to 2035,2
949,I wouldn’t,99
954,I'm excited about inflation dropping down I hope the government do more to tackle cost of living,6
955,That we need more help.,3
956,I will like if Government can encourage more investors in,5
959,It is a trying time for most youths in this country. Inflation has really reduced the purchasing power of most of us. I fear for the future as we cant continue like this.,2
961,I don't know,99
963,Intriguing,5
965,its going in a bad decision and we need to step our gain and work harder not smarter and do the right things and be strong an save our world and country,2
966,"This is absolutely true. It is so hard to afford things I want, only needs are attended to.",2
973,if it continues people have a reason for hope,6
975,I wouldnt,99
977,We all are worried.,2
978,This level of economic adversity makes me so pessimistic about the future,2
982,All fake,1
984,I wouldnt comment,99
986,I don’t comment,99
987,Good news,6
988,Yhh seems the future is being doubtful now buh tech is  a high probability to regain the balance,5
993,i can’t even afford to eat of course it’s a problem,1
994,I see new opportunities and possibilities in the future,7
995,"As a young man in my 20s, I agree that it is important to remain optimistic, despite the overwhelming evidence that life could get much harder for us in the coming decades; we have to stay positive to keep moving and trust that better things are coming!",6
996,"While the rising cost of living is tough, it’s encouraging to see efforts to support households and businesses. Small positive changes can make a real difference over time.",6
997,"Although it came down, doesn’t fully help those who still struggle under living conditions and wage.",3
998,I believe things would change for the better with time,6
999,This is clearly propaganda that is not based on any actual evidence.  Are the comments from real people or just made up to support this propaganda and attempt to influence those who do not scrutinise evidence for themselves.,1
1003,I’m hopeful that our economy will get better,6
1007,I hope so as the cost of living crisis has demolished my savings. There seems to be no end in sight.,2
1008,Rising Cost of living in the UK,2
1009,lets hope something changes,3
1011,Agree,5
1012,Its how things should be,6
1015,Things are really bad and its is anooying that most youths cant get what they want because they cant afford it,2
1018,Interesting and scary,4
1023,"The cost of living is getting too high by the day, everyone is  feeling like they're just barely keeping their head above water? #cost_of_living #struggle_is_real""",2
1026,I know things will get better soon,6
1027,All the youth and teenager worried and anxious with the issue in uk things is getting worse,2
1033,May we succeed during these hard times,6
1037,Things arent great atm financially,2
1038,It is a scary time.,2
1040,I wouldn’t,99
1041,it is bad for growth,2
1044,It's not going to be easy for the masses,3
1046,This is wonderful to know,7
1048,Not sure,99
1050,Don’t know,99
1051,"Throughout history, people have always gotten richer over time, I'm sure this will be fixed",5
1055,Very good chart tesm,6
1057,I'm certain in the future it would be much better for the youths with the decrease in inflation,6
1058,Very interesting and amazing,7
1064,It's a good thing that inflation is coming down,6
1065,Why is cost of crisis increasing on daily basis,2
1070,I’ll believe that when i see it take effect,3
1071,i hope that inflation will continue to decrease to give young people like myself a better future,5
1073,I think we government should reduce the cost of food,5
1077,What a great way to keep young people in the country by making it harder for us to survive.,2
1079,Is this backed with evidence,4
1080,Wow,4
1083,"I feel the same way, something needs to be done",4
1084,Developing,4
1085,"It can be useful to see reports like this, helps me understand the overall situation.",6
1087,relived tht inflation has reduced slightly,6
1088,this gives me some useful infprmation,6
1090,Wow,4
1092,To afford want i want is a problem with increase in price of things,2
1095,Cost of living is skyrocketing in the uk,2
1097,We need more jobs,4
1098,Not sure,99
1099,I WOULDNT BELEIVE EVERYTHING I READ,4
1100,Nothing,99
1101,Positive news but we should still be critical and push for more action so that living situations for brits reflects that better,5
1103,That things seem to be stabilising for me personally,6
1106,There is always good for bad times,5
1108,Things will only get better if the costs go down,3
1109,They should not agree it will be a bad decision on the country,2
1112,Oh wow,4
1114,I am hopeful,6
1118,send them back,2
1119,that i relate as a young person,5
1121,GOOD TO SEE INFLATION EASING BUT MANY PEOPLE ARE STILL STRUGGLING WITH THE HIGH COST OF ESSENTIALS.,4
1122,"I totaly agree with the post, many people in the UK are struggling with rising cost of living",4
1123,Yes young people are worried about the state of their country,4
1124,Prices have increased for everyone but they have stopped the cost of living payments for the people who are genuinely struggling to live,2
1125,Well the post is right in some way but not everything cause they are still some advantage about it,5
1126,Nothing,99
1127,Government should look into it,4
1130,Government is doing a poor job.,2
1133,There is hope for the future,6
1136,It’s not good,2
1138,Poverty is not ok.,3
1142,Great information,7
1152,us young people have good reason for concern - writing it off as simply anxiety is dissmisive and unecessary. people cant afford to live.,2
1156,Is there any way the trends could predict a decrease in the cost of living crisis which will hopefully stay instead of increasing again ?,4
1158,"It's really though seeing proves go up everywhere, everything from groceries to bills seems more expensive. Hopefully things improve soon so families can manage without constant stress",2
1161,"I feel so scared and uncertain on what the future holds, to be honest. The cost of living is absolutely terrifying ?",2
1162,I’d say that upon the increasing cost of living we still have to be thankful that inflation went down even if it was just a bit.,5
1163,where is this evidence sourced from? is it just clickbait,2
1164,Humanitarian aid is useful,6
1165,It's upsetting you know,2
1168,It's a good development to reduce housing problems,6
1170,Things looks bad in the uk right now and actions need to be taken immediately,2
1172,Thus is horrible,1
1174,I’m sure things would get better overtime  The Uk government is working,5
1175,"It's somehow sad the economy of this country right now, I hope it gets better for the sake of us and the younger ones",3
1176,I don't have any comments to make,99
1177,Nothing really,99
1178,Just something about how prices keep increasing,2
1181,"Its such a sad situation, I wish the government would do something about it",2
1185,I wouldn’t,99
1187,The post should have valid credentials,4
1188,At least something good is happening,5
1190,I wouldn’t leave a comment,99
1191,This country is finished,1
1196,I honestly wish that things will get better because some people can't even afford the essentials of life.,3
1197,"Really helpful breakdown, makes it easier to understand what’s actually going on with prices lately",6
1198,I believe it's too soon to say . But things are looking positive,5
1200,I'm not sure,99
1202,Ok,99
1203,"If prices could come down now, that means sooner or later, the economy could recover",5
1204,W Uk,99
1208,Things are really bad that it's really affecting the way we live,1
1212,it’s nice to know that we aren’t completely doomed,5
1217,Things may change for the better but we’re still struggling now if we don’t keep fighting and we just settle it will just go back to how it was before!,3
1222,ohh nice to know.,6
1223,hopefully cost of living can follow suit and decrease,3
1224,"This statistics are accurate, there's being a rising rate of cost of living over the past 3 years",4
1225,"Hopefully, inflation continues to decrease",7
1226,It's good to see inflation trending down but there is still a lot to do to make living cost manageable for everyone,5
1228,interesting,5
1232,Its all lies,1
1236,Uh oh,2
1237,It's such a relief,6
1241,Feeling optimistic is one thing but if the actual economy doesn't reflect that then it doesn't matter,3
1243,the country is going down,1
1244,Things need to change,3
1245,The government should look into this,4
1246,Honestly i qm not worried about anything right now i just want to herald christ,6
1247,It's is getting better soon,6
1248,Lower taxation,6
1250,Good and professional,6
1261,It's really affecting,4
1267,"With the way things have gone in the past decade, I wouldn’t be surprised to still be living with my parents when I’m 35, if Earth hasn’t become by then",2
1269,Ok,99
1271,Its good to be aware of this information in order to find ways to sort it out,5
1272,The government should come and help his citizens,4
1273,disgusting,1
1275,Very good,7
1276,The inflation is rising government should look into to this,3
1277,Great post,7
1278,Good,7
1282,I am optimistic of the future,6
1288,Young people don’t feel hopeful. We want to leave but can not because we can’t afford to.,2
1289,nothing really,99
1299,I think it's one of the major reasons for depression in teenagers and young people as well,2
1304,I don't really agree with that statement tbh,3
1305,We need more to be done for cost of living,3
1306,I would write that young people are struggling.,3
1308,Na,99
1309,Lies,1
1311,I hope inflation doesn’t keep going up,3
1312,everyday needs have become difficult to meet,2
1314,Thats very nervious and its a high time that we should do something about inflation,2
1315,sighhh its never getting fixed,2
1321,Inflation is affecting the uk,3
1322,It is good to see figure like this shown,6
1323,Damn we fucked,1
1324,it is interesting to see how the economy is changing,5
1325,Blame it on kier,2
1326,Interesting to see that inflation has actually gone down. Never would’ve expected that. Then again I’m not too familiar with the factors that go into it.,5
1328,Don’t believe it,2
1329,The uk government is corrupt and working against the British people,1
1330,where did u get this info from ??,4
1331,True?,99
1334,Id understand that the UK government is working hard to decrease inflation but prices are still the concern here. There are workers barely able to even achieve enough!,2
1338,I'll believe it when I see it,3
1340,It is vibrant,6
1341,"Nothing, I'm not much of a commenter",99
1342,Intresting shift I hope it is a bright future for us,6
1343,It's good to see useful information like this,6
1344,No government has understood the nature of society at the moment and are oblivious as to the root cause of the issues.,2
1345,I still think it will get worse,2
1346,I’m very enxcoted for this change as I have been struggling so wouldn’t a big improvement,6
1349,It's scary times to know that we might not be able to buy our own home and also afford a very basic lifestyle. Things need to change to support young people in the UK!,2
1354,Load of lies,1
1357,The cost of living has risen so everyone should live within his or her means,4
1361,I am worried about the foreign students and workers coming from abroad,2
1364,"Interesting data. It's tough seeing these numbers, hoping for improvement soon",3
1365,"There’s little wonder, and very little hope",2
1366,There's a lot going on in the UK right now,4
1370,Good,7
1371,good post,6
1374,Fun,7
1375,Things will get better its just for the youths to be patient,6
1377,What does this mean?,99
1378,Things are getting better a little,5
1379,It’s nice to see how much the government is improving,6
1380,I wouldn’t comment,99
1381,Currently things are really bad I would say but definitely everything will be very ok in the future to come if we buckle up and seat up,5
1382,With the decrease in inflation I hope we get to see more drop inflation in the coming years,6
1383,Things are fine,5
1385,Hopeful,6
1395,I wouldn’t leave a comment,99
1396,i hope this is true,5
1399,Its good to have optimism when the media thrives pn keeping us constantly worries,6
1405,That's crazy!,4
1408,I'm going to end my life and I'm going to end my life and I'm going,1
1409,I feel so good about this for people who struggle and can’t afford stuff because inflation has been up for such a long time,6
1411,i wouldnt comment,99
1412,I wouldn’t comment,99
1414,Hopefully they continue to drop for our future,3
1416,Probably something sarcastic like 'bro can the gov just stop making us poorer,2
1419,Inflation is ruining the country,1
1420,Its a inspirational post and its amazing,7
1421,20% is a bit too much don't y'all think,3
1426,n/a,99
1427,Probably wouldn’t comment,99
1430,because people here are non serious people and they are making difficult for immigrants to stay here they are contributing in every profession,2
1431,It upgrading,5
1438,Idk,99
1441,Why should the next generation take on the generations before mistakes,2
1443,Its very unfortunate,2
1445,I wouldn't,99
1449,It's a beautiful statement with a beautiful photo of the building,7
1454,The price is getting worse and the youths are feeling anxious,2
1455,took their time to lower prices.,2
1461,"Yes, there’s been a slight decrease in inflation, but we need to see this. Continue alongside other economic goals.",5
1463,"Ts is honestly disappointing to see, Im very concerned and worried about the future of our generation/",2
1468,I'm hopeful for things to get better but I also expect some set back along the way,5
1469,I like it natural,6
1471,I'm glad inflation came down at last. The Future holds something bright,6
1473,Smile,7
1474,"Just hope that this trend doesn't develop more into something uncontrollable. Even now, the prices are higher than what they used to be by a large margin.",2
1476,what source?,99
1477,Im feeling worried,2
1478,"Inflation is always a thing, and the cost of living is always going up.",4
1479,its great! keep going really great in advance,7
1484,Nothing,99
1485,I wouldn’t engage with this post,99
1491,Very nice post,7
1492,The price of things actually explains the cost of living,4
1502,About time,5
1507,Not sure,99
1508,I would not leave a comment.,99
1509,It’s really a shame that us young people are going through this and the government isn’t trying to aid us with at least work at the bare minimum,2
1516,Something to do with ghe cost of living,4
1517,Its getting so hard to afford basic needs,2
1519,"Good luck to them. Nothing says ""ignorance is bliss"" more than the above.",2
1521,The cost and living essentials is getting expensive but we still can turn things around for the better,5
1522,i agree,4
1523,It’s encouraging to see optimism among young people despite tough times. Hope and resilience are powerful especially when supported by real changes like easing inflation. Let's keep pushing for progress and supporting one another,7
1527,Yes it is getting hard,3
1532,yeah right,2
1535,I don’t know,99
1542,"Yeah, it's true",55
1550,There is a great turn of event and a reason to hope again,6
1553,Wowzers,6
1554,cost of living is high but i believe the government knows what to do,5
1555,"what is the source for this statistic, whilst it is great to be positive , is there sufficient evidence for this???",4
1556,everything is just going wrong,1
1560,Life is getting too expensive and wages don’t reflect the price increases,2
1562,Disappointed but not suprised,2
1570,Kinda depressing tbh,2
1573,Not sure,99
1575,It’s horrible we cannot afford to live,1
1582,Optimism is all the UK has now,3
1584,im still poor,2
1585,This is really a progress in our economy in the past month.,6
1586,Better days ahead,6
1587,Im intrigued to see how this plays out.,5
1588,I wouldn’t write anything,99
1589,Hopeful,6
1590,Inflation came down for the first time in months and I'm hoping it doesn't go up again in few months time ?,5
1595,Well let’s wait until wednesdays budget,4
1598,It looks good,6
1606,they should listen more to thee community,3
1607,Nice,6
1609,It’s reassuring,6
1611,Ve Educational,99
1617,That’s interesting,5
